,cluster_id,auc,pre_micro,pre_macro
count,17.0,17.0,17.0,1.0
mean,10.117647058823529,0.5672842840681922,0.47505316502240086,0.25359101325742106
std,7.5156699047820785,0.19643944276412395,0.09105683014407975,
min,0.0,0.2034433148022768,0.31934578438771133,0.25359101325742106
25%,5.0,0.40617007002636996,0.41539587869973554,0.25359101325742106
50%,9.0,0.601790374037579,0.4511023981707932,0.25359101325742106
75%,13.0,0.7070813829713423,0.5434228639126237,0.25359101325742106
max,26.0,0.9200719145469063,0.658398219609396,0.25359101325742106
